GEOID,YEAR,state,PCPrate,pctOBESE,FI,MIDWIVESrate,OBGYNrate,rtTEENBIRTH,rtSTD,MHCENTERrate,MHPROVIDERrate,rtDRUGODMORTALITY,pctNoVehicle,pctRural,rtSocASSOC,pctHOUSE_DISTRESS,rtVIOLENTCR,segregation,Racialized_pov
48415,2022,Texas,65.38278649548265,0.379,0.137,0.0,0.0,58.31134565,401.1,0.0,0.0,0.0,0.0094853328649218,0.3057047466976339,11.37520206,0.110450297,298.1429951,34.88540836,1.934765294903365
48417,2022,Texas,0.0,0.342,0.15,0.0,0.0,24.27184466,275.7,0.0,18.679950186799505,0.0,0.0558912386706948,1.0,27.56508423,0.149797571,103.8729782,0.0,1.200259485237394
48419,2022,Texas,20.886419649943605,0.396,0.179,7.96241738991958,7.96241738991958,40.10970175,340.3,0.0,0.0,0.0,0.062861593235425,0.8011383537653239,11.4742423,0.135629709,289.3707206,20.86609277,2.468841574597108
48421,2022,Texas,0.0,0.368,0.144,0.0,0.0,21.39800285,0.0,0.0,0.0,0.0,0.0112079701120797,1.0,16.54533422,0.09478673,145.0676983,0.0,2.647581989994441
48423,2022,Texas,99.49997048729688,0.379,0.148,2.461275925439748,25.4331845628774,28.75828867,384.5,0.0,0.0,9.015738904,0.0426764756538641,0.3420272916474436,12.84634653,0.161668502,335.0091366,35.89376169,1.6316937012447663
48425,2022,Texas,63.36466363924385,0.359,0.18,0.0,0.0,14.8216767,131.5,0.0,0.0,0.0,0.0286995515695067,1.0,6.57318142,0.191358025,108.441299,49.25193543,2.377712830603623
48427,2022,Texas,24.224439431331284,0.466,0.211,0.0,0.0,58.93358279,266.1,0.0,1.5140274644582052,0.0,0.1074380165289256,0.2948651000870322,2.4755156040000004,0.22229064,262.6990952,18.91284283,1.6842414177332097
48429,2022,Texas,32.70467676877794,0.379,0.168,0.0,0.0,46.13733906,331.0,0.0,10.90155892292598,0.0,0.092511013215859,0.4329608938547486,8.541533205,0.111620795,188.0810361,36.22968262,1.4312682121049016
48431,2022,Texas,0.0,0.376,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.23780016,0.076086957,113.4215501,0.0,0.0
48433,2022,Texas,82.16926869350863,0.368,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0244444444444444,1.0,29.62962963,0.068965517,70.99751509000001,0.0,0.4697752721008536
48435,2022,Texas,120.51822838204278,0.375,0.124,0.0,0.0,42.19409283,238.3,0.0,0.0,0.0,0.0252808988764044,1.0,15.88983051,0.117845118,139.328689,0.0,6.569769291964995
48437,2022,Texas,14.269406392694064,0.412,0.178,0.0,0.0,45.53518628,270.40000000000003,0.0,0.0,0.0,0.0807996668054977,1.0,13.51899419,0.147117296,518.7471272,32.25861164,4.082088402895426
48439,2022,Texas,58.50051517133738,0.377,0.13,3.130674347254399,20.717697886242345,23.65356986,422.6,0.0,0.0,10.44242776,0.0435739745605448,0.0119451138348565,6.929795982000001,0.167046975,402.7178025,34.31348961,2.054335666873405
48441,2022,Texas,69.07330142472405,0.365,0.159,2.803554907622866,21.026661807171493,32.7577728,370.9,0.0,0.0,10.60562966,0.0464853028503562,0.1694098689511156,12.46069809,0.136014551,426.2026447,27.43248161,1.771542578730413
48443,2022,Texas,0.0,0.391,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0321100917431192,1.0,0.0,0.025316456,177.5147929,0.0,0.192067244549514
48445,2022,Texas,42.53871022630594,0.41,0.155,0.0,17.491691446562882,62.0475698,567.4,0.0,0.0,0.0,0.079136690647482,0.2641470035498016,8.105698306,0.165841584,254.184264,36.67201276,2.830335177533068
48447,2022,Texas,66.8896321070234,0.357,0.187,0.0,0.0,40.29304029,0.0,0.0,0.0,0.0,0.0251968503937007,1.0,19.98667555,0.070921986,0.0,0.0,3.99479573250065
48449,2022,Texas,38.48250649392297,0.393,0.153,11.88707280832095,29.71768202080237,39.4145442,265.6,0.0,0.0,0.0,0.0466580262914275,0.530841588279364,9.160305344,0.170640486,353.0274781,20.093537,1.527521617069701
